Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
63,Black Adam,"$168,152,111","4,402","$67,004,323","4,402","Oct 21, 2022",Warner Bros.
64,Eternals,"$164,870,234","4,090","$71,297,219","4,090","Nov 5, 2021",Walt Disney Studios Motion Pictures
65,Batman Returns,"$162,831,698","2,644","$45,687,711","2,644","Jun 19, 1992",Warner Bros.
66,X-Men,"$157,299,718","3,112","$54,471,475","3,025","Jul 14, 2000",Twentieth Century Fox
67,X-Men: Apocalypse,"$155,442,489","4,153","$65,769,562","4,150","May 27, 2016",Twentieth Century Fox
68,Fantastic Four,"$154,696,080","3,619","$56,061,504","3,602","Jul 8, 2005",Twentieth Century Fox
69,Megamind,"$148,415,853","3,949","$46,016,833","3,944","Nov 5, 2010",DreamWorks
70,X-Men: First Class,"$146,408,305","3,692","$55,101,604","3,641","Jun 3, 2011",Twentieth Century Fox
71,Shazam!,"$140,371,656","4,306","$53,505,326","4,217","Apr 5, 2019",Warner Bros.
72,Teenage Mutant Ninja Turtles,"$135,265,915","2,377","$25,398,367","2,006","Mar 30, 1990",New Line Cinema
73,The Incredible Hulk,"$134,806,913","3,508","$55,414,050","3,505","Jun 13, 2008",Universal Pictures
74,Wanted,"$134,508,551","3,185","$50,927,085","3,175","Jun 27, 2008",Universal Pictures
75,Superman,"$134,218,018",817,"$7,465,343",508,"Dec 15, 1978",Warner Bros.
76,The Wolverine,"$132,556,852","3,924","$53,113,752","3,924","Jul 26, 2013",Twentieth Century Fox
77,Hulk,"$132,177,234","3,674","$62,128,420","3,660","Jun 20, 2003",Universal Pictures
78,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684","3,959","Jun 15, 2007",Twentieth Century Fox
79,Aquaman and the Lost Kingdom,"$124,481,226","3,787","$27,686,211","3,706","Dec 22, 2023",Warner Bros.
80,Green Lantern,"$116,601,172","3,816","$53,174,303","3,816","Jun 17, 2011",Warner Bros.
81,Ghost Rider,"$115,802,596","3,620","$45,388,836","3,619","Feb 16, 2007",Sony Pictures Releasing
82,Superman II,"$108,185,706","1,878","$14,100,523","1,397","Jun 19, 1981",Warner Bros.
83,Watchmen,"$107,509,799","3,611","$55,214,334","3,611","Mar 6, 2009",Warner Bros.
84,Batman & Robin,"$107,325,195","2,942","$42,872,605","2,934","Jun 20, 1997",Warner Bros.
85,Daredevil,"$102,543,518","3,474","$40,310,419","3,471","Feb 14, 2003",Twentieth Century Fox
86,The Green Hornet,"$98,780,042","3,584","$33,526,876","3,584","Jan 14, 2011",Sony Pictures Releasing
87,Unbreakable,"$95,011,339","2,708","$30,330,771","2,708","Nov 22, 2000",Walt Disney Studios Motion Pictures
88,The Mask of Zorro,"$94,095,523","2,515","$22,525,855","2,515","Jul 17, 1998",Sony Pictures Releasing
89,Power Rangers,"$85,364,450","3,693","$40,300,288","3,693","Mar 24, 2017",Lionsgate
90,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"$84,158,461","4,236","$33,010,017","4,236","Feb 7, 2020",Warner Bros.
91,Blade II,"$82,348,319","2,707","$32,528,016","2,707","Mar 22, 2002",New Line Cinema
92,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","4,071","$35,316,382","4,071","Jun 3, 2016",Paramount Pictures
93,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","2,868","$20,030,473","2,868","Mar 22, 1991",New Line Cinema
94,Hellboy II: The Golden Army,"$75,986,503","3,212","$34,539,115","3,204","Jul 11, 2008",Universal Pictures
95,Blue Beetle,"$72,488,072","3,871","$25,030,225","3,871","Aug 18, 2023",Warner Bros.
96,Blade,"$70,087,718","2,389","$17,073,856","2,322","Aug 21, 1998",New Line Cinema
97,X-Men: Dark Phoenix,"$65,845,974","3,721","$32,828,348","3,721","Jun 7, 2019",Twentieth Century Fox
98,Chronicle,"$64,575,175","2,908","$22,004,098","2,907","Feb 3, 2012",Twentieth Century Fox
99,Sky High,"$63,946,815","2,912","$14,631,784","2,905","Jul 29, 2005",Walt Disney Studios Motion Pictures
100,Superman III,"$59,950,623","1,763","$13,352,357","1,759","Jun 17, 1983",Warner Bros.
